CantinaReward_Tier3,,,
Weapon_Laser_Large,Weapon,1,3
Weapon_NARC,Weapon,1,2
Gear_Attachment_ArtemisIV,Upgrade,1,2
Weapon_MML_7,Weapon,1,2
Weapon_Autocannon_AC_5,Weapon,1,3
Weapon_SRM_6_Streak,Weapon,1,3
Weapon_Autocannon_UAC_2,Weapon,1,2
Weapon_PPC,Weapon,1,7
Weapon_Laser_ER_Large,Weapon,1,4
Weapon_LRM_15,Weapon,1,4
Weapon_Autocannon_AC_10,Weapon,1,5
Weapon_Autocannon_AC_20,Weapon,1,5
Gear_HeatSink_Prototype,HeatSink,1,4
Ammo_AmmunitionBox_MRM_Streak,AmmunitionBox,3,4
Ammo_AmmunitionBox_LBX_20_Dragons_Breath,AmmunitionBox,4,4
