CantinaReward_Quicsell,,,
Ammo_AmmunitionBox_AC_2_Quicsell,AmmunitionBox,6,6
Ammo_AmmunitionBox_MRM_Quicsell,AmmunitionBox,4,6
Ammo_AmmunitionBox_AC_5_Quicsell,AmmunitionBox,4,5
Ammo_AmmunitionBox_AC_10_Quicsell,AmmunitionBox,2,5
Ammo_AmmunitionBox_AC_20_Quicsell,AmmunitionBox,2,4
Ammo_AmmunitionBox_SRM_Quicsell,AmmunitionBox,1,4
Ammo_AmmunitionBox_LRM_Quicsell,AmmunitionBox,1,4
Ammo_AmmunitionBox_Thunderbolt_10_Deadfire_Quicsell,AmmunitionBox,1,3
Ammo_AmmunitionBox_MRM_Quicsell_Double,AmmunitionBox,1,4
Ammo_AmmunitionBox_AC_20_Quicsell_Double,AmmunitionBox,1,3
Ammo_AmmunitionBox_LRM_Quicsell_Double,AmmunitionBox,1,1
