CantinaReward_QuicsellStore,,,
Weapon_MachineGun_Quicsell,Weapon,4,5
Gear_HeatSink_Double_Quicsell,HeatSink,4,5
Weapon_SRM_2_Streak_Quicsell,Weapon,2,5
Gear_Sensors_Searchlight_Quicsell,Upgrade,2,4
Gear_FCS_Recoil_Quicsell,Upgrade,2,4
Gear_Cockpit_Viewmaster_Quicsell,Upgrade,1,4
Gear_HarJel_Quicsell,Upgrade,1,4
HandHeld_Weapon_Grenade_x3_Quicsell,Weapon,1,4
HandHeld_Weapon_FireBomb_x3_Quicsell,Weapon,1,4
Gear_ECM_OmniJammer_Quicsell,Upgrade,1,3
Weapon_PPC_LBX_Quicsell,Weapon,1,1
Special_AddOn_ThermalMass_Small_Quicsell,HeatSink,1,1
mechdef_panther_PNT-QS1,MechPart,1,1
mechdef_vindicator_VND-QS1,MechPart,1,1
mechdef_quickdraw_QKD-QS1,MechPart,1,1
mechdef_charger_CGR-QS4,MechPart,1,1
